URL	Language	System Name	Latest Commit ID	Latest Commit Date	System Size (Primary Language)	Closed-Category Type	Axial Code	Domain	Commit Hash
https://github.com/akimd/bison	C	bison	25b3d0e1a3f97a33615099e4b211f3953990c203	2022-09-20 08:25:06 +0200	22385	Determiners	Position in Sequence (Temporal / Recent & Upcoming)	Parser Generators / Token Stream Libraries	25b3d0e1a3f97a33615099e4b211f3953990c203
https://github.com/antlr/antlr4	Java	antlr4	cb850120378d000e97da38afb852aa3c554b81f5	2025-04-03 09:44:07 -0700	31425	Determiners	Position in Sequence (Temporal / Recent & Upcoming)	Parser Generators / Token Stream Libraries	cb850120378d000e97da38afb852aa3c554b81f5
https://github.com/apache/arrow	C++	arrow	4d566e60c5a12f047e1c0f36b9733a56513a7d43	2025-04-25 06:34:21 +0900	405435	Determiners	Population / Subpopulation Reference	Dataframe / Matrix Libraries	4d566e60c5a12f047e1c0f36b9733a56513a7d43
https://github.com/apache/commons-collections	Java	commons-collections	a3dca96b37f728aa191ca4b077b6604f2e3d2daa	2025-04-25 10:29:23 -0400	32688	Prepositions	Position / Ordering in Time or Space	Data Structure / Algorithm Libraries	a3dca96b37f728aa191ca4b077b6604f2e3d2daa
https://github.com/apache/parquet-java	Java	parquet-java	c780ffa09be559ca55feb1c0ba996554dd416dea	2025-04-24 12:41:43 -0700	68565	Conjunctions	Data Pair / Composite Value	Multi-format I/O Libraries	c780ffa09be559ca55feb1c0ba996554dd416dea
https://github.com/boostorg/container	C++	container	b13c1fe8a4921328c9ecdbdfc90431d73b2060ac	2024-12-23 22:41:29 +0100	35432	Prepositions	Position / Ordering in Time or Space	Data Structure / Algorithm Libraries	b13c1fe8a4921328c9ecdbdfc90431d73b2060ac
https://github.com/GNOME/gtk	C	gtk	17bbeb4bc5556a897198613f872543a9a1b4a240	2025-04-24 15:29:35 +0000	661507	Conjunctions	Guarded Action / Conditional Enablement	UI Libraries / Event Dispatch Systems	17bbeb4bc5556a897198613f872543a9a1b4a240
https://github.com/godotengine/godot	C++	godot	d00f25ecd92f100aedbab4ef4622b95900e9cf01	2025-04-25 20:49:54 +0200	2309439	Digits	Distinguisher × Locally Specific Concept	Game Engines / Grid-based Games	d00f25ecd92f100aedbab4ef4622b95900e9cf01
https://github.com/haifengl/smile	Java	smile	d18696f3f3bb198a8ee4a3c7485942508e59080a	2025-03-12 11:38:26 -0400	88663	Determiners	Population / Subpopulation Reference	ML Preprocessing / Feature Selection	d18696f3f3bb198a8ee4a3c7485942508e59080a
https://github.com/jedisct1/libsodium	C	libsodium	72fdf1b86c476e81a3352292962423e76cb141d8	2025-04-22 11:33:28 +0200	33095	Conjunctions	Data Pair / Composite Value	Cryptographic Libraries	72fdf1b86c476e81a3352292962423e76cb141d8
https://github.com/jhipster/jhipster-bom	Java	jhipster-bom	82e1ab06812348569b80711fc80568575e533c8e	2025-04-09 13:28:01 +0100	3457	Digits	Distinguisher × Human-Named Convention	Code Generators / Macro Frameworks	82e1ab06812348569b80711fc80568575e533c8e
https://github.com/jMonkeyEngine/jmonkeyengine	Java	jmonkeyengine	dcb22624b426c46805c1468e90adcd0365cd3083	2025-04-22 01:12:16 -0400	168832	Digits	Distinguisher × Locally Specific Concept	Game Engines / Grid-based Games	dcb22624b426c46805c1468e90adcd0365cd3083
https://github.com/jtablesaw/tablesaw	Java	tablesaw	5b27ac45e00396fd6dc30572da48ba5181d81ee2	2025-04-08 21:05:09 -0700	36815	Determiners	Population / Subpopulation Reference	Dataframe / Matrix Libraries	5b27ac45e00396fd6dc30572da48ba5181d81ee2
https://github.com/libjpeg-turbo/libjpeg-turbo	C	libjpeg-turbo	2a0c86278249e7a3c3429caff24c06a50048d772	2025-04-03 13:05:01 -0400	61945	Conjunctions	Data Pair / Composite Value	Multi-format I/O Libraries	2a0c86278249e7a3c3429caff24c06a50048d772
https://github.com/lightbend/config	Java	config	d279841c425e70645feacbdc03e41b3b022ad1f9	2023-10-17 11:18:13 +0200	11460	Conjunctions	Guarded Action / Conditional Enablement	Feature Flag Systems / Config-Driven Execution	d279841c425e70645feacbdc03e41b3b022ad1f9
https://github.com/msgpack/msgpack-c	C	msgpack-c	306d59d52f752388f276aa5244cdd56be3ad75e0	2025-02-21 22:39:02 +0900	3515	Prepositions	Type Casting / Interpretation	Serialization/Deserialization Libraries	306d59d52f752388f276aa5244cdd56be3ad75e0
https://github.com/ocornut/imgui	C++	imgui	75964a9860d497ce3a4b0c482a093e664971466c	2025-04-24 14:39:25 +0200	62219	Conjunctions	Guarded Action / Conditional Enablement	UI Libraries / Event Dispatch Systems	75964a9860d497ce3a4b0c482a093e664971466c
https://github.com/open-source-parsers/jsoncpp	C++	jsoncpp	ca98c98457b1163cca1f7d8db62827c115fec6d1	2025-03-18 16:15:37 -0700	5642	Prepositions	Type Casting / Interpretation	Serialization/Deserialization Libraries	ca98c98457b1163cca1f7d8db62827c115fec6d1
https://github.com/OpenMathLib/OpenBLAS	C	OpenBLAS	70dff3b84fff151f3e58bf54ce54a5e763f29cac	2025-04-23 13:53:55 -0700	1905049	Digits	Distinguisher × Locally Specific Concept	Scientific Computing / Matrix Libraries	70dff3b84fff151f3e58bf54ce54a5e763f29cac
https://github.com/openssl/openssl	C	openssl	29864f2b0f1046177e8048a5b17440893d3f9425	2025-04-25 20:04:31 +0200	508765	Conjunctions	Data Pair / Composite Value	Cryptographic Libraries	29864f2b0f1046177e8048a5b17440893d3f9425
https://github.com/PerMalmberg/libcron	C++	libcron	aa3d4368d59abb9d51199755df7419194bc3e42e	2024-08-02 18:49:19 +0200	1289	Determiners	Position in Sequence (Temporal / Recent & Upcoming)	Job Queues / Schedulers	aa3d4368d59abb9d51199755df7419194bc3e42e
https://github.com/pjreddie/darknet	C	darknet	f6afaabcdf85f77e7aff2ec55c020c0e297c77f9	2022-07-18 00:26:40 +0300	28478	Determiners	Population / Subpopulation Reference	ML Preprocessing / Feature Selection	f6afaabcdf85f77e7aff2ec55c020c0e297c77f9
https://github.com/PX4/eigen	C++	eigen	7cf1c0179eb0f5499dfc1bffbd229783a7865fe1	2018-03-19 09:04:54 -0700	138657	Digits	Distinguisher × Locally Specific Concept	Scientific Computing / Matrix Libraries	7cf1c0179eb0f5499dfc1bffbd229783a7865fe1
https://github.com/pybind/pybind11	C++	pybind11	bc4a66dff0464d0c87291b00a3688999fea5bedc	2025-04-16 18:42:34 -0400	16906	Prepositions	Type Casting / Interpretation	Polyglot Interop Tools / Type Bridge Layers	bc4a66dff0464d0c87291b00a3688999fea5bedc
https://github.com/qt/qtbase	C++	qtbase	9a06c8ae8c0c13d9a84ee18768e1c68169c31043	2025-04-25 20:45:42 +0200	1585821	Digits	Distinguisher × Human-Named Convention	GUI Builders / Form Designers	9a06c8ae8c0c13d9a84ee18768e1c68169c31043
https://github.com/quartz-scheduler/quartz	Java	quartz	df059e2a6c22ad1466476ae246025f31caffa6e5	2025-02-17 08:33:18 -0500	30549	Determiners	Position in Sequence (Temporal / Recent & Upcoming)	Job Queues / Schedulers	df059e2a6c22ad1466476ae246025f31caffa6e5
https://github.com/rose-compiler/rose	C	rose	5c9d8859d38a320d577d7f592a98f4fb762051fc	2025-04-19 03:03:36 -0700	268754	Prepositions	Position / Ordering in Time or Space	Compiler / Intermediate Representation Tools	5c9d8859d38a320d577d7f592a98f4fb762051fc
https://github.com/spring-projects/spring-boot	Java	spring-boot	c6045c3111c43bd7b0f99e6c2858bfb2999e358f	2025-04-25 15:53:18 +0100	183638	Conjunctions	Guarded Action / Conditional Enablement	Feature Flag Systems / Config-Driven Execution	c6045c3111c43bd7b0f99e6c2858bfb2999e358f
https://github.com/swig/swig	C++	swig	4167b0275adc574f86914e42fb5ef9639b2b25a5	2025-04-25 08:35:16 +0100	55793	Prepositions	Type Casting / Interpretation	Polyglot Interop Tools / Type Bridge Layers	4167b0275adc574f86914e42fb5ef9639b2b25a5
https://github.com/TinyCC/tinycc	C	tinycc	36ff4f52b518e1043b3aa2f0a466392c08b33978	2025-04-19 08:05:27 +0800	88783	Prepositions	Position / Ordering in Time or Space	Compiler / Intermediate Representation Tools	36ff4f52b518e1043b3aa2f0a466392c08b33978